month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202007,50320,"des moines, ia",,249200,-0.0586,0.1618,48,-0.0943,-0.1429,83.5,-0.2833,0.6058,32,0.6,0.6,8,,1,28,-0.125,-0.2222,79,0.1127,0.7955,171.8761389,0.0127,0.1516,1446,-0.0096,0.0056,244633,-0.024,0.0618,127,0.0242,0.27,1.6458,0.3062,0.8601
202007,14891,"watkins glen, ny",,245050,0.0657,0.4247,18,-0.1429,-0.3333,57.5,-0.5287,-0.1481,4,0,,0,,,0,,-1,11,0.8333,-0.1538,114.7460938,0.022,0.1245,2046,0,0.2028,282499,0.0877,0.2969,29,0.0741,-0.275,0.6111,0.3254,0.1296
202007,2878,"tiverton, ri",*,545000,-0.0522,0.2822,52,-0.1333,,98.5,-0.0963,0.2961,24,0,-0.3333,0,,,12,0,-0.5714,53,0.06,-0.0862,242.4699337,-0.0504,0.0793,2132,-0.0775,-0.026,624120,-0.0576,0.0223,105,-0.0455,-0.3966,1.0192,0.1859,0.5192
202007,34986,"port saint lucie, fl",*,313750,0.0289,0.0476,230,-0.0873,,64.5,-0.25,-0.0851,84,-0.0455,0,4,0,,68,-0.1905,-0.1053,179,0.1474,0.4672,150.3866923,0.0279,0.0281,2072.5,0.0005,-0.0103,362033,0.032,0.0636,409,0.0025,-0.0726,0.7783,0.1592,0.3958
202007,28730,"fairview, nc",,515050,0.1028,0.0103,55,-0.0833,-0.4444,118,0.2356,0.3801,12,-0.5,-0.25,0,,,12,-0.25,-0.25,27,0.08,0.5,222.2659217,0.0434,0.0467,2673.5,0.0306,-0.0447,829869,0.0828,0.1866,82,-0.0353,-0.2991,0.4909,0.0742,0.3091
202007,48104,"ann arbor, mi",,512050,0.0667,0.0242,91,0.0225,-0.1495,52.5,0.1667,0,36,-0.1,-0.25,0,,,24,0.2,-0.4,43,0.1316,0.0488,333.0391507,0.0415,-0.0097,1594.5,0.0644,-0.0894,608308,0.0507,-0.0402,134,0.0551,-0.0946,0.4725,0.0456,0.0893
202007,96744,"kaneohe, hi",*,690050,0.0036,-0.0915,155,-0.0549,0.1832,64.5,0.1835,,40,0.1111,-0.2857,4,,,20,-0.1667,-0.5455,0,,,476.40548,-0.0021,-0.0423,1524,0.0547,-0.0199,926676,0.0203,0.0114,155,-0.0549,0.1832,0,0,0
202007,53191,"williams bay, wi",,345050,-0.008,-0.1131,43,-0.0652,-0.1042,132.5,0.2679,0.755,4,-0.6667,0,0,,,8,1,-0.5,17,0,0,161.0580958,0.0093,-0.0004,2017,-0.0539,-0.0423,609618,-0.0757,0.277,60,-0.0476,-0.0769,0.3953,0.0258,0.0412
202007,35150,"sylacauga, al",*,160000,0.1057,,41,-0.0682,,119,0.0348,,8,-0.3333,-0.3333,0,,,0,-1,-1,22,0,1.4444,74.23888424,0.0031,-0.0302,1914,0.0753,0.0586,171128,0.1318,-0.1123,63,-0.0455,-0.1127,0.5366,0.0366,0.3914
202007,40299,"louisville, ky",*,390000,0.0427,0.1642,66,-0.1429,,41.5,0.1528,0.1216,48,-0.1429,-0.3684,0,,,20,-0.1667,-0.5455,149,-0.0261,0.6196,154.604696,-0.0238,0.1948,2182,0.0107,-0.0486,473621,0.0589,0.2001,215,-0.0652,-0.0402,2.2576,0.2706,1.5606
