month_date_yyyymm,postal_code,City,State,City_State,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202006,47906,West Lafayette,in,West Lafayette_IN,*,344800,0.0291,0.1495,78,-0.0714,-0.1429,46,-0.098,,40,-0.2308,-0.4444,0,,,28,-0.125,-0.125,22,0.2941,-0.3125,130.4785209,0.0084,0.0555,2768,0.077,0.0958,414025,0.0267,0.1111,100,-0.0099,-0.187,0.2821,0.0797,-0.0696
202006,49017,Battle Creek,mi,Battle Creek_MI,*,140050,0.0007,-0.066,46,-0.1321,,68.5,-0.0486,,24,0.2,0,0,,,8,-0.3333,0,67,0.4565,66,89.29682033,0.2344,0.0607,1808,0.0284,0.0998,209578,0.107,-0.0536,113,0.1414,0.9825,1.4565,0.5886,1.4387
202006,93705,Fresno,ca,Fresno_CA,*,227550,0.0341,0.1097,21,-0.4,,28,-0.3333,-0.125,20,0.25,-0.2857,0,,,4,0,-0.75,26,0.04,0.2381,168.6317958,0.0087,0.1605,1318,0.0265,-0.0738,218342,-0.0054,0.1253,47,-0.2167,-0.2034,1.2381,0.5238,0.6855
202006,98077,Woodinville,wa,Woodinville_WA,,1225050,0.0208,0.0889,27,0.2857,-0.5091,31.5,-0.4919,-0.1,24,0.5,-0.1429,0,,,4,0,-0.75,23,0.2778,-0.08,370.8953629,-0.0011,0.0734,3300,-0.0149,-0.0265,1263876,-0.1196,-0.0316,50,0.2821,-0.375,0.8519,-0.0053,0.3973
202006,31721,Albany,ga,Albany_GA,,195000,0.0836,-0.0248,60,-0.2308,-0.3814,83.5,0.1597,0.1929,20,0,-0.375,0,,,16,-0.2,-0.3333,4,0,0.3333,88.05320321,0.0652,0.0649,2239,0.0556,-0.1094,242532,0.1267,0.0729,64,-0.2195,-0.36,0.0667,0.0154,0.0357
202006,28209,Charlotte,nc,Charlotte_NC,,625050,0,0.1682,81,-0.0357,-0.2895,67.5,-0.0357,0.35,44,0.1,0.1,0,,,16,-0.4286,-0.6667,64,-0.0986,-0.1688,298.8993695,0.0265,0.1057,2127,-0.0283,0,763458,-0.0018,0.0971,145,-0.0645,-0.2408,0.7901,-0.0551,0.1147
202006,92119,San Diego,ca,San Diego_CA,,649500,0.0824,-0.0007,18,0.0588,-0.625,26,0.1304,0.2381,24,0,-0.4,0,,,4,-0.5,-0.9167,31,0,-0.2955,411.1357002,0.0448,0.1071,1437,0.0474,-0.1322,591776,0.0145,-0.0276,49,0.0208,-0.4674,1.7222,-0.1013,0.8056
202006,30656,Monroe,ga,Monroe_GA,*,329950,0.0473,0.0642,131,-0.2108,,81.5,0.2348,0.2734,44,-0.0833,-0.3125,4,0,,36,0.125,-0.4706,112,0.2874,0.3494,113.9194139,0.0194,0.2002,2527,0.0108,0.0582,405222,0.059,0.1345,243,-0.0395,-0.1927,0.855,0.3309,0.4742
202006,32766,Oviedo,fl,Oviedo_FL,,465000,-0.0511,0.0815,27,-0.1,-0.413,63,0.26,-0.0156,12,0,-0.5,0,,,16,0,-0.4286,36,0.2414,-0.1818,176.4606901,-0.0297,0.0827,2706,-0.0124,0.0254,611123,-0.0417,0.0776,63,0.0678,-0.3,1.3333,0.3667,0.3768
202006,91724,Covina,ca,Covina_CA,*,724944,0.1344,0.0901,29,-0.0645,,50,0.0204,-0.0196,12,-0.5,-0.5714,0,,,4,0,-0.6667,32,0.5238,0.5238,349.0875049,-0.0207,0.0374,2204.5,0.1865,0.0599,947078,0.0811,0.035,61,0.1731,-0.1757,1.1034,0.426,0.7072
